Company,Year,Sales,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Net Block,Capital Work in Progress,Investments,Other Assets,Total Assets,Receivables,Cash & Bank,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Raw Material Cost,Change in Inventory,Inventory,Power and Fuel,Expenses,Operating Profit,Profit_Margin,Operating_Margin,ROE,ROA,Debt_to_Equity,Interest_Coverage,Working_Capital_Ratio,Asset_Utilization,Receivable_Ratio,Inventory_Ratio,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,Cash_to_Debt,Cash_Margin,Revenue_Growth,Profit_Growth,Borrowing_Growth,Asset_Growth,Reserve_Growth,Operating_CF_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Revenue_Volatility,Profit_Volatility,Operating_CF_Volatility,Sales_Zero_Flag,Sales_Negative_Flag,Sales_Anomaly_Flag,Negative_Interest_Flag,Negative_Cash_Flag
360 ONE WAM LTD,2018,1705.14,78.05,390.84,148.53,34.94,9.67,13.61,558.76,490.08,109.9,380.17,71.78,15.95,1846.94,6966.33,737.36,9566.58,30.59,21.73,1111.2,8403.06,9566.58,195.2,745.2,-2771.96,1072.53,1262.78,-436.66,0.0,0.0,0.0,0.0,1224.73,490.0800000000001,0.223,0.2874,0.2041,0.0397,3.7395,0.8755,0.0779,0.2029,0.1145,0.0,0.7183,0.0014,-1.6256,0.107,-7.2914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
360 ONE WAM LTD,2019,1578.47,97.73,332.69,158.07,-0.49,0.86,21.51,431.08,537.93,163.38,374.55,84.5,16.9,2893.52,6103.08,749.42,9762.92,336.6,173.43,3052.57,6200.32,9762.92,296.07,277.42,1852.27,-2133.47,-80.43,-361.63,20.56,19.75,19.75,0.0,1080.9,498.4300000000002,0.2373,0.3158,0.1287,0.0384,2.097,1.245,0.0284,0.2546,0.1876,0.0125,0.6848,0.0022,1.1735,0.0454,4.9453,-0.0743,-0.0148,-0.1239,0.0205,0.5667,-1.6682,0.5168,0.0,-0.6277,0.0,0.0,89.5692,3.9739,3269.8244,0,0,0,0,0
360 ONE WAM LTD,2020,1520.77,167.28,374.41,110.01,3.83,5.77,41.02,501.59,286.42,85.26,201.16,174.3,17.43,2974.08,8838.1,1191.4,13021.01,608.16,1.1,6512.44,5899.31,13021.01,242.55,1178.71,1628.09,-3360.69,2289.67,557.06,22.23,-19.75,0.0,0.0,1200.62,325.91999999999985,0.1323,0.2143,0.0672,0.0154,2.9544,0.5699,0.0905,0.2578,0.1595,0.0,0.7895,0.0032,1.0706,0.1334,8.0935,-0.0366,-0.4629,0.4481,0.3337,0.0278,-0.121,-0.1808,-1.0,3.2488,0.0,0.0,94.3105,101.7679,2607.4956,0,0,0,0,0
360 ONE WAM LTD,2021,1654.32,145.31,410.73,77.98,27.35,2.31,42.97,413.55,484.92,115.73,369.19,615.3,17.58,2810.19,5076.69,834.39,8738.85,837.19,2.43,2512.86,5386.37,8738.85,226.4,838.19,462.66,4128.39,-4835.61,-244.57,53.82,0.0,0.0,0.0,1171.71,484.9199999999999,0.2232,0.2931,0.1306,0.0422,1.7953,1.1698,0.0959,0.3071,0.1369,0.0,0.7083,0.0049,0.2797,0.1651,1.2532,0.0878,0.8353,-0.4256,-0.3289,-0.0551,-0.7158,-0.0666,0.0,-0.2889,-0.01,-0.0097,66.9802,98.5959,746.0451,0,0,0,0,0
360 ONE WAM LTD,2022,2071.81,222.83,592.87,105.27,-6.16,5.89,41.74,369.85,751.3,173.56,577.74,487.85,17.74,3005.79,5807.58,1903.14,10734.25,815.99,0.27,4072.39,5845.6,10734.25,268.16,1022.2,928.8,-1128.11,251.23,51.92,0.0,0.0,0.0,0.0,1326.4,751.2999999999998,0.2789,0.3626,0.1911,0.0538,1.9208,2.0259,0.0952,0.3544,0.1294,0.0,0.6402,0.0039,0.4483,0.176,1.6076,0.2524,0.5649,0.144,0.2283,0.0696,1.0075,0.1845,0.0,0.2195,0.0949,0.1554,287.4539,188.653,586.589,0,0,0,0,0
360 ONE WAM LTD,2023,2056.65,122.68,509.05,122.86,11.15,4.89,46.31,399.2,850.29,192.4,657.93,2457.09,35.61,3086.34,6783.67,1285.09,11190.71,879.75,39.16,3609.17,6662.63,11190.71,302.84,725.56,-1322.51,787.88,555.55,20.92,0.0,0.0,0.0,0.0,1211.25,850.2900000000001,0.3199,0.4134,0.2107,0.0588,2.1729,2.1247,0.0648,0.3087,0.1472,0.0,0.5889,0.0041,-0.643,0.1069,-2.0101,-0.0073,0.1388,0.1681,0.0425,0.0268,-2.4239,0.1293,0.0,-0.2902,0.1059,0.4844,236.783,149.0494,1188.3122,0,0,0,0,0
360 ONE WAM LTD,2024,2920.91,181.14,689.82,176.09,18.97,3.82,56.64,643.49,1008.54,204.33,804.21,592.18,35.89,3413.84,9471.93,2192.7,15114.36,939.73,63.86,5947.67,8163.1,15114.36,328.17,638.17,-470.11,-1574.38,1977.74,-66.75,150.04,0.0,0.0,0.0,1916.19,1008.5399999999998,0.2753,0.3453,0.2331,0.0532,2.7457,1.5649,0.0422,0.3578,0.1124,0.0,0.656,0.0037,-0.1609,0.0674,-0.5846,0.4202,0.2223,0.3963,0.3506,0.1061,-0.6445,0.0836,0.0,-0.1204,0.2086,0.2963,494.6625,114.831,1136.6568,0,0,0,0,0
360 ONE WAM LTD,2025,3683.87,162.98,888.61,210.42,30.38,-87.11,70.53,887.02,1346.82,331.52,1015.3,235.86,39.31,7025.81,11160.2,1542.91,19768.23,1281.35,88.22,7608.12,10790.54,19768.23,443.06,1091.58,-2410.87,-1065.15,3773.47,297.45,0.0,0.0,0.0,0.0,2249.94,1346.82,0.2756,0.3656,0.1437,0.0514,1.5796,1.5167,0.0552,0.3414,0.1203,0.0,0.6108,0.0036,-0.6544,0.0978,-2.3745,0.2612,0.2625,0.1782,0.3079,1.058,4.1283,0.3501,0.0,0.7105,0.2115,0.2068,814.1354,179.6618,972.7678,0,0,0,0,0
360 ONE WAM LTD,2026,4361.62,0.0,1132.56,0.0,522.36,115.64,155.22,1090.24,1576.88,360.71,1216.17,487.32,40.61,9794.94,15931.31,1434.49,27201.35,3969.45,0.0,8842.44,14389.46,27201.35,503.56,1481.59,-2921.05,-1613.27,4357.0,-177.32,0.0,0.0,0.0,0.0,2900.38,1576.88,0.2788,0.3615,0.1237,0.0447,1.6198,1.445,0.0545,0.3031,0.1155,0.0,0.665,0.0057,-0.6697,0.093,-2.4018,0.184,0.1978,0.4275,0.376,0.3941,0.2116,0.1366,0.0,0.3573,0.2848,0.2273,720.7749,206.0011,1293.1834,0,0,0,0,0
3M INDIA LTD,2017,2362.98,17.74,280.11,326.72,38.6,49.4,46.75,2.27,369.22,128.47,240.76,0.0,11.27,1215.13,9.78,695.35,1931.53,315.16,2.43,0.0,1613.94,1931.53,407.92,744.16,364.93,12.01,-3.65,373.28,1326.63,8.72,331.78,13.06,2060.6,351.7800000000001,0.1019,0.1489,0.1963,0.1246,0.008,112.9113,0.3851,1.4641,0.1726,0.1404,0.872,0.0242,0.1544,69.0315,1.5157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
