Company,Year,Sales,Net profit,Operating Profit,ROE,ROA,Debt_to_Equity,Borrowings,Total Assets,Cash from Operating Activity,Operating_CF_Ratio,Cash_Margin,Cash_to_Debt,Revenue_Growth,Profit_Growth,Asset_Growth,Borrowing_Growth,Sales_Anomaly_Flag,Negative_Interest_Flag,Negative_Cash_Flag,Risk_Category,Growth_Category
360 ONE WAM LTD,2026,4361.62,1216.17,1576.88,0.1237,0.0447,1.6198,15931.31,27201.35,-2921.05,-0.6697,-2.4018,0.093,0.184,0.1978,0.376,0.4275,0,0,0,Healthy,Stable / Low Growth
3M INDIA LTD,2026,5089.76,522.32,730.4899999999999,0.2954,0.1665,0.096,169.75,3137.25,513.72,0.1009,0.9835,4.7893,0.1449,0.0971,0.0407,0.7055,0,0,0,Healthy,Stable / Low Growth
63 MOONS TECHNOLOGIES LTD,2026,211.59,-22.43,-36.839999999999975,-0.0063,-0.0058,0.0008,2.85,3886.59,-292.97,-1.3846,13.0615,435.5273,3.5192,-0.3238,0.0571,0.0,0,0,0,Moderate Risk,Revenue Growth Only
AADHAR HOUSING FINANCE LTD,2026,3683.44,1095.88,1405.91,0.1453,0.04,2.4856,18743.78,27398.63,-2807.88,-0.7623,-2.5622,0.0648,0.1849,0.2018,0.1798,0.1483,0,0,0,Healthy,Stable / Low Growth
AARTI DRUGS LTD,2026,2565.31,194.92,210.1600000000004,0.1258,0.0692,0.3723,576.64,2815.26,253.54,0.0988,1.3007,0.0153,0.0747,0.1591,0.0934,-0.0625,0,0,0,Healthy,Stable / Low Growth
AARTI INDUSTRIES LTD,2026,8286.0,419.0,-651.0,0.0704,0.0315,0.8339,4966.0,13299.0,775.0,0.0935,1.8496,0.1226,0.1395,0.2664,0.1967,0.2906,0,0,0,Healthy,Stable / Low Growth
AARTI PHARMALABS LTD,2026,1819.44,174.71,130.56000000000012,0.0822,0.0502,0.3551,754.36,3481.71,261.93,0.144,1.4992,0.0127,-0.1398,-0.3586,0.1979,0.8261,0,0,0,Healthy,Declining
ABBOTT INDIA LTD,2026,6929.05,1552.02,1908.69,0.3251,0.2387,0.036,171.99,6501.93,1319.24,0.1904,0.85,13.0351,0.0811,0.0973,0.0988,-0.1255,0,0,0,Healthy,Stable / Low Growth
ACC LTD,2026,25961.85,2137.07,1930.5700000000024,0.104,0.0776,0.0209,428.61,27525.26,-1364.01,-0.0525,-0.6383,1.2982,0.193,-0.1103,0.0831,-0.0027,0,0,0,Healthy,Stable / Low Growth
ACME SOLAR HOLDINGS LTD,2026,2023.38,498.92,676.8300000000003,0.0986,0.0175,3.9309,19896.29,28540.31,1248.59,0.6171,2.5026,0.3095,0.44,0.979,0.5733,0.8128,0,0,0,Healthy,Revenue Growth Only
ACTION CONSTRUCTION EQUIPMENT LTD,2026,3280.44,415.09,501.81,0.2064,0.1277,0.0039,7.9,3251.68,417.27,0.1272,1.0053,8.6742,-0.014,0.0143,0.1998,-0.5195,0,0,0,Healthy,Declining
ACUTAAS CHEMICALS LTD,2026,1339.37,356.26,424.7199999999999,0.2154,0.1796,0.0215,35.6,1983.96,292.17,0.2181,0.8201,6.1429,0.3302,1.2447,0.2806,1.7533,0,0,0,Healthy,Quality Growth
ADANI ENERGY SOLUTIONS LTD,2026,27588.03,2282.54,3114.840000000001,0.0898,0.0246,1.934,49176.43,92756.75,10996.68,0.3986,4.8177,0.0803,0.1608,1.1534,0.2551,0.2317,0,0,0,Healthy,Stable / Low Growth
ADANI ENTERPRISES LTD,2026,100468.61,9339.47,7875.480000000014,0.1154,0.0358,1.3175,106621.79,260868.38,2356.91,0.0235,0.2524,0.1108,0.0263,0.3132,0.3186,0.1656,0,0,0,Healthy,Stable / Low Growth
ADANI GREEN ENERGY LTD,2026,12928.0,1652.0,2001.0,0.0827,0.0116,5.1863,103545.0,142988.0,10135.0,0.784,6.135,0.0267,0.1531,0.144,0.2909,0.2937,0,0,0,Moderate Risk,Stable / Low Growth
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,2026,38735.77,12806.21,14848.559999999994,0.1335,0.0699,0.6624,63565.52,183098.53,20356.25,0.5255,1.5896,0.1335,0.2711,0.1545,0.3721,0.2314,0,0,0,Healthy,Quality Growth
ADANI POWER LTD,2026,54240.52,12834.3,15499.509999999991,0.1976,0.0907,0.8419,54670.29,141468.53,20513.65,0.3782,1.5983,0.1267,-0.0349,-0.0081,0.2528,0.3842,0,0,0,Healthy,Declining
ADANI TOTAL GAS LTD,2026,5863.51,636.88,863.1500000000011,0.132,0.0674,0.4668,2251.76,9443.65,1150.0,0.1961,1.8057,0.2233,0.176,-0.0172,0.2428,0.2299,0,0,0,Healthy,Stable / Low Growth
ADITYA BIRLA CAPITAL LTD,2026,45513.0,3863.8,5271.240000000003,0.1122,0.0115,5.2156,179537.75,334965.76,-36544.12,-0.8029,-9.4581,0.0263,0.1201,0.1425,0.2021,0.2823,0,0,0,Moderate Risk,Stable / Low Growth
ADITYA BIRLA FASHION & RETAIL LTD,2026,8175.74,-775.89,-1571.1900000000005,-0.1329,-0.0446,1.0599,6189.11,17394.77,160.75,0.0197,-0.2072,0.0776,0.1121,1.0645,0.061,0.2337,0,0,0,Moderate Risk,Stable / Low Growth
ADITYA BIRLA REAL ESTATE LTD,2026,407.18,-103.22,-256.81000000000006,-0.0279,-0.0051,1.523,5636.49,20232.76,747.23,1.8351,-7.2392,0.2481,-0.6659,-0.36,0.2275,0.1281,0,0,0,Moderate Risk,Declining
ADITYA BIRLA SUN LIFE AMC LTD,2026,2056.16,975.07,1265.5599999999995,0.2413,0.2208,0.0158,63.73,4415.43,811.93,0.3949,0.8327,2.1477,0.0373,0.0478,0.0732,-0.0636,0,0,0,Healthy,Stable / Low Growth
ADITYA INFOTECH LTD,2026,4220.81,367.96,1058.9900000000005,0.1961,0.0922,0.1366,256.34,3990.99,13.47,0.0032,0.0366,0.7756,0.3564,0.0472,0.2572,-0.4967,0,0,0,Healthy,Quality Growth
ADITYA VISION LTD,2026,2671.62,116.92,-127.58999999999985,0.1698,0.0795,0.8321,572.8,1471.0,74.95,0.0281,0.641,0.2242,0.1822,0.1082,0.2024,0.1923,0,0,0,Healthy,Stable / Low Growth
ADVANCED ENZYME TECHNOLOGIES LTD,2026,745.76,168.72,229.82,0.1034,0.092,0.0196,32.01,1833.89,156.78,0.2102,0.9292,3.512,0.1709,0.2868,0.1382,-0.1865,0,0,0,Healthy,Stable / Low Growth
AEGIS LOGISTICS LTD,2026,8333.21,898.15,1542.9799999999998,0.1483,0.0629,0.6854,4149.93,14269.44,2027.69,0.2433,2.2576,1.0105,0.232,0.3539,0.2879,-0.099,0,0,0,Healthy,Quality Growth
AEGIS VOPAK TERMINALS LTD,2026,923.08,310.47,406.44999999999993,0.0724,0.0369,0.8696,3730.93,8421.11,701.96,0.7605,2.261,0.0822,0.1696,0.5489,0.2481,-0.0714,0,0,0,Healthy,Stable / Low Growth
AEQUS LTD,2026,1230.44,-113.25,-126.53,-0.0762,-0.0421,0.4715,700.93,2690.47,-98.75,-0.0803,0.872,0.5081,0.3308,0.1065,0.414,-0.1072,0,0,0,Moderate Risk,Revenue Growth Only
AEROFLEX INDUSTRIES LTD,2026,441.94,55.53,56.74000000000004,0.1242,0.0983,0.0199,8.9,565.02,65.84,0.149,1.1857,7.0354,0.1747,0.0575,0.3246,14.3448,0,0,0,Healthy,Stable / Low Growth
AETHER INDUSTRIES LTD,2026,1160.14,219.46,128.38000000000005,0.0894,0.0686,0.1865,457.94,3201.43,142.38,0.1227,0.6488,0.0123,0.3833,0.3853,0.2107,1.2912,0,0,0,Healthy,Revenue Growth Only
AFCOM HOLDINGS LTD,2026,583.11,121.9,148.18,0.2669,0.1304,0.8773,400.65,934.78,35.99,0.0617,0.2952,0.1545,1.4427,1.5176,2.3938,14.38,0,0,0,Healthy,Quality Growth
AFFLE 3I LTD,2026,2709.31,454.85,558.6599999999999,0.1245,0.1029,0.0041,14.81,4421.49,502.35,0.1854,1.1044,81.8514,0.1955,0.1911,0.2243,-0.8196,0,0,0,Healthy,Stable / Low Growth
AGI GREENPAC LTD,2026,2665.32,352.21,451.2900000000004,0.1463,0.0991,0.1001,241.04,3552.76,572.03,0.2146,1.6241,0.3476,0.054,0.0924,0.0162,-0.5639,0,0,0,Healthy,Stable / Low Growth
AGI INFRA LTD,2026,352.54,94.86,-262.92999999999995,0.2041,0.0601,0.3993,185.61,1578.2,-32.38,-0.0918,-0.3413,0.5276,0.0858,0.423,0.3191,0.3507,0,0,0,Healthy,Stable / Low Growth
AHLUWALIA CONTRACTS (INDIA) LTD,2026,4565.2,265.86,359.09000000000003,0.1291,0.0623,0.0355,73.14,4264.86,281.13,0.0616,1.0574,11.0259,0.1138,0.3156,0.1508,-0.0394,0,0,0,Healthy,Stable / Low Growth
AIA ENGINEERING LTD,2026,4419.86,1270.16,1381.8199999999997,0.1583,0.1488,0.0013,10.27,8538.0,591.5,0.1338,0.4657,19.8634,0.0309,0.1974,0.09,-0.9791,0,0,0,Healthy,Stable / Low Growth
AIMTRON ELECTRONICS LTD,2026,301.16,45.97,-74.40999999999998,0.196,0.1096,0.2357,55.3,419.58,-39.96,-0.1327,-0.8693,0.2465,0.8921,0.7936,0.8235,85.4062,0,0,0,Healthy,Quality Growth
